@relation openSMILE_features

@attribute name string
@attribute frameTime numeric
@attribute F0final_sma numeric
@attribute voicingFinalUnclipped_sma numeric
@attribute pcm_loudness_sma numeric
@attribute class numeric

@data
'unknown',0.870000,1.048480e+002,8.059848e-001,3.921405e-001,?
'unknown',0.880000,1.058060e+002,8.033593e-001,4.301105e-001,?
'unknown',0.890000,1.052097e+002,7.660272e-001,4.133494e-001,?
'unknown',0.900000,6.992348e+001,4.963887e-001,4.126106e-001,?
'unknown',0.910000,3.442237e+001,2.341426e-001,3.358785e-001,?
'unknown',0.920000,0.000000e+000,0.000000e+000,2.462141e-001,?
'unknown',0.930000,0.000000e+000,0.000000e+000,3.090801e-001,?
'unknown',0.940000,0.000000e+000,0.000000e+000,3.823797e-001,?
'unknown',0.950000,0.000000e+000,0.000000e+000,6.071896e-001,?
'unknown',0.960000,0.000000e+000,0.000000e+000,5.831167e-001,?
'unknown',0.970000,0.000000e+000,0.000000e+000,5.697374e-001,?
'unknown',0.980000,0.000000e+000,2.313177e-001,7.221432e-001,?
'unknown',0.990000,0.000000e+000,2.313177e-001,1.008134e+000,?
'unknown',1.000000,0.000000e+000,2.313177e-001,1.516174e+000,?
'unknown',1.010000,0.000000e+000,0.000000e+000,1.699883e+000,?
'unknown',1.020000,0.000000e+000,0.000000e+000,2.045739e+000,?
'unknown',1.030000,0.000000e+000,0.000000e+000,1.719038e+000,?
'unknown',1.040000,0.000000e+000,0.000000e+000,1.293399e+000,?
'unknown',1.050000,0.000000e+000,0.000000e+000,6.171286e-001,?
'unknown',1.060000,0.000000e+000,0.000000e+000,5.988693e-001,?
'unknown',1.070000,0.000000e+000,1.951660e-001,4.851181e-001,?
'unknown',1.080000,0.000000e+000,1.951660e-001,3.836187e-001,?
'unknown',1.090000,4.748714e+001,4.385988e-001,1.801929e-001,?
'unknown',1.100000,9.454248e+001,5.092738e-001,1.534165e-001,?
'unknown',1.110000,1.410369e+002,7.829949e-001,2.055293e-001,?
'unknown',1.120000,1.399844e+002,8.151837e-001,2.197611e-001,?
'unknown',1.130000,1.393594e+002,8.243994e-001,3.388162e-001,?
'unknown',1.140000,1.391034e+002,8.221741e-001,4.501259e-001,?
'unknown',1.150000,1.373509e+002,8.245937e-001,4.226799e-001,?
'unknown',1.160000,1.345777e+002,8.262383e-001,4.246711e-001,?
'unknown',1.170000,1.310308e+002,8.342859e-001,4.219543e-001,?
'unknown',1.180000,1.279823e+002,8.338606e-001,4.813759e-001,?
'unknown',1.190000,1.243370e+002,8.301890e-001,5.296883e-001,?
'unknown',1.200000,1.199200e+002,8.206541e-001,3.684227e-001,?
'unknown',1.210000,1.146694e+002,8.120947e-001,3.141746e-001,?
'unknown',1.220000,1.091079e+002,8.090766e-001,3.101311e-001,?
'unknown',1.230000,1.046487e+002,8.116301e-001,6.010930e-001,?
'unknown',1.240000,1.008083e+002,8.113354e-001,5.873941e-001,?
'unknown',1.250000,9.821188e+001,8.107706e-001,6.010720e-001,?
'unknown',1.260000,9.579776e+001,8.061112e-001,3.456127e-001,?
'unknown',1.270000,9.389133e+001,7.996621e-001,4.737369e-001,?
'unknown',1.280000,9.182220e+001,7.952995e-001,4.349027e-001,?
'unknown',1.290000,8.997431e+001,7.909853e-001,5.406848e-001,?
'unknown',1.300000,8.896286e+001,7.914341e-001,4.886622e-001,?
'unknown',1.310000,8.892495e+001,7.868950e-001,4.144495e-001,?
'unknown',1.320000,8.918933e+001,7.801126e-001,2.851512e-001,?
'unknown',1.330000,8.966149e+001,7.796964e-001,2.222009e-001,?
'unknown',1.340000,8.991836e+001,7.830786e-001,2.448452e-001,?
'unknown',1.350000,8.993151e+001,7.894036e-001,2.540792e-001,?
'unknown',1.360000,8.987841e+001,7.908216e-001,3.674369e-001,?
'unknown',1.370000,9.033695e+001,7.860505e-001,2.819644e-001,?
'unknown',1.380000,9.107368e+001,7.878542e-001,3.031726e-001,?
'unknown',1.390000,9.172367e+001,7.906906e-001,2.696905e-001,?
'unknown',1.400000,9.219220e+001,7.997440e-001,3.469309e-001,?
'unknown',1.410000,9.304792e+001,8.033513e-001,4.780432e-001,?
'unknown',1.420000,9.402859e+001,8.069335e-001,3.544474e-001,?
'unknown',1.430000,9.496548e+001,8.089299e-001,2.573285e-001,?
'unknown',1.440000,9.527807e+001,8.114339e-001,1.408736e-001,?
'unknown',1.450000,9.536712e+001,8.098373e-001,1.927992e-001,?
'unknown',1.460000,9.521841e+001,8.046987e-001,2.684135e-001,?
'unknown',1.470000,9.560136e+001,7.905808e-001,2.786959e-001,?
'unknown',1.480000,1.024748e+002,7.639076e-001,2.622173e-001,?
'unknown',1.490000,7.075585e+001,4.988399e-001,2.627575e-001,?
'unknown',1.500000,3.863704e+001,4.882902e-001,2.643971e-001,?
'unknown',1.510000,0.000000e+000,2.463779e-001,2.147477e-001,?
'unknown',1.520000,0.000000e+000,2.463779e-001,1.348805e-001,?
'unknown',1.530000,0.000000e+000,0.000000e+000,7.114881e-002,?
'unknown',1.540000,0.000000e+000,0.000000e+000,8.731542e-002,?
'unknown',1.550000,0.000000e+000,0.000000e+000,9.203184e-002,?
'unknown',1.560000,0.000000e+000,0.000000e+000,7.305101e-002,?
'unknown',1.570000,0.000000e+000,0.000000e+000,7.675493e-002,?
'unknown',1.580000,0.000000e+000,0.000000e+000,6.760816e-002,?
'unknown',1.590000,0.000000e+000,0.000000e+000,8.583837e-002,?
'unknown',1.600000,0.000000e+000,0.000000e+000,7.336312e-002,?
'unknown',1.610000,0.000000e+000,2.491017e-001,6.894256e-002,?
'unknown',1.620000,0.000000e+000,2.491017e-001,4.554705e-002,?
'unknown',1.630000,0.000000e+000,2.491017e-001,5.133897e-002,?
'unknown',1.640000,0.000000e+000,0.000000e+000,5.170565e-002,?
'unknown',1.650000,0.000000e+000,0.000000e+000,6.115035e-002,?
'unknown',1.660000,0.000000e+000,0.000000e+000,5.681989e-002,?
'unknown',1.670000,0.000000e+000,0.000000e+000,4.842968e-002,?
'unknown',1.680000,0.000000e+000,0.000000e+000,5.100026e-002,?
'unknown',1.690000,0.000000e+000,0.000000e+000,7.589898e-002,?
'unknown',1.700000,0.000000e+000,0.000000e+000,9.386930e-002,?
'unknown',1.710000,0.000000e+000,0.000000e+000,8.185402e-002,?
'unknown',1.720000,0.000000e+000,2.381752e-001,4.809857e-002,?
'unknown',1.730000,0.000000e+000,2.381752e-001,3.701768e-002,?
'unknown',1.740000,0.000000e+000,2.381752e-001,5.531911e-002,?
'unknown',1.750000,0.000000e+000,0.000000e+000,5.570313e-002,?
'unknown',1.760000,0.000000e+000,0.000000e+000,6.914636e-002,?
'unknown',1.770000,0.000000e+000,0.000000e+000,7.217301e-002,?
'unknown',1.780000,0.000000e+000,0.000000e+000,8.523222e-002,?
'unknown',1.790000,0.000000e+000,0.000000e+000,8.722880e-002,?
'unknown',1.800000,0.000000e+000,0.000000e+000,7.647950e-002,?
'unknown',1.810000,0.000000e+000,0.000000e+000,7.043156e-002,?
'unknown',1.820000,0.000000e+000,0.000000e+000,6.660941e-002,?
'unknown',1.830000,0.000000e+000,0.000000e+000,7.840496e-002,?
'unknown',1.840000,0.000000e+000,0.000000e+000,8.595855e-002,?
'unknown',1.850000,0.000000e+000,0.000000e+000,8.319763e-002,?
